Poll_ID,Date,Date_Start,Date_End,n,Parliament_ID,Institute_ID,Tasker_ID,Party_ID,Pct,Institute_Name,Parliament_Name,Tasker_Name,Party_Name,Vote_Date
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,1,26,INSA,Bundestag,BILD,CDUCSU,NA
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,4,23.5,INSA,Bundestag,BILD,Gruene,NA
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,7,15,INSA,Bundestag,BILD,AfD,NA
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,2,14.5,INSA,Bundestag,BILD,SPD,NA
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,3,8.5,INSA,Bundestag,BILD,FDP,NA
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,5,7,INSA,Bundestag,BILD,Linke,NA
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,0,5.5,INSA,Bundestag,BILD,Sonstige,NA
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,4,24,Forsa,Berlin,Berliner Zeitung,Gruene,NA
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,5,17,Forsa,Berlin,Berliner Zeitung,Linke,NA
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,2,16,Forsa,Berlin,Berliner Zeitung,SPD,NA
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,1,16,Forsa,Berlin,Berliner Zeitung,CDUCSU,NA
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,7,11,Forsa,Berlin,Berliner Zeitung,AfD,NA
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,0,10,Forsa,Berlin,Berliner Zeitung,Sonstige,NA
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,3,6,Forsa,Berlin,Berliner Zeitung,FDP,NA
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,1,29,Emnid,Bundestag,BILD am Sonntag,CDUCSU,NA
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,4,22,Emnid,Bundestag,BILD am Sonntag,Gruene,NA
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,2,15,Emnid,Bundestag,BILD am Sonntag,SPD,NA
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,7,14,Emnid,Bundestag,BILD am Sonntag,AfD,NA
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,3,7,Emnid,Bundestag,BILD am Sonntag,FDP,NA
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,5,7,Emnid,Bundestag,BILD am Sonntag,Linke,NA
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,0,6,Emnid,Bundestag,BILD am Sonntag,Sonstige,NA
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,1,27,Forsa,Bundestag,RTL / n-tv,CDUCSU,NA
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,4,23,Forsa,Bundestag,RTL / n-tv,Gruene,NA
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,2,15,Forsa,Bundestag,RTL / n-tv,SPD,NA
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,7,12,Forsa,Bundestag,RTL / n-tv,AfD,NA
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,3,9,Forsa,Bundestag,RTL / n-tv,FDP,NA
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,0,7,Forsa,Bundestag,RTL / n-tv,Sonstige,NA
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,5,7,Forsa,Bundestag,RTL / n-tv,Linke,NA
1396,2019-08-29,2019-08-26,2019-08-29,1657,13,6,5,1,32,Forschungsgruppe Wahlen,Sachsen,ZDF-Politbarometer,CDUCSU,2019-09-01
1396,2019-08-29,2019-08-26,2019-08-29,1657,13,6,5,7,24.5,Forschungsgruppe Wahlen,Sachsen,ZDF-Politbarometer,AfD,2019-09-01
1396,2019-08-29,2019-08-26,2019-08-29,1657,13,6,5,5,14,Forschungsgruppe Wahlen,Sachsen,ZDF-Politbarometer,Linke,2019-09-01
1396,2019-08-29,2019-08-26,2019-08-29,1657,13,6,5,4,11,Forschungsgruppe Wahlen,Sachsen,ZDF-Politbarometer,Gruene,2019-09-01
1396,2019-08-29,2019-08-26,2019-08-29,1657,13,6,5,2,8.5,Forschungsgruppe Wahlen,Sachsen,ZDF-Politbarometer,SPD,2019-09-01
1396,2019-08-29,2019-08-26,2019-08-29,1657,13,6,5,0,5,Forschungsgruppe Wahlen,Sachsen,ZDF-Politbarometer,Sonstige,2019-09-01
1396,2019-08-29,2019-08-26,2019-08-29,1657,13,6,5,3,5,Forschungsgruppe Wahlen,Sachsen,ZDF-Politbarometer,FDP,2019-09-01
1395,2019-08-29,2019-08-26,2019-08-29,1653,4,6,5,2,22,Forschungsgruppe Wahlen,Brandenburg,ZDF-Politbarometer,SPD,2019-09-01
1395,2019-08-29,2019-08-26,2019-08-29,1653,4,6,5,7,21,Forschungsgruppe Wahlen,Brandenburg,ZDF-Politbarometer,AfD,2019-09-01
1395,2019-08-29,2019-08-26,2019-08-29,1653,4,6,5,1,16.5,Forschungsgruppe Wahlen,Brandenburg,ZDF-Politbarometer,CDUCSU,2019-09-01
1395,2019-08-29,2019-08-26,2019-08-29,1653,4,6,5,4,14.5,Forschungsgruppe Wahlen,Brandenburg,ZDF-Politbarometer,Gruene,2019-09-01
1395,2019-08-29,2019-08-26,2019-08-29,1653,4,6,5,5,14,Forschungsgruppe Wahlen,Brandenburg,ZDF-Politbarometer,Linke,2019-09-01
1395,2019-08-29,2019-08-26,2019-08-29,1653,4,6,5,3,5,Forschungsgruppe Wahlen,Brandenburg,ZDF-Politbarometer,FDP,2019-09-01
1395,2019-08-29,2019-08-26,2019-08-29,1653,4,6,5,0,4,Forschungsgruppe Wahlen,Brandenburg,ZDF-Politbarometer,Sonstige,2019-09-01
