Institut,Auftraggeber,Befragte,Datum,Partei,Pct,Land
Institut,Auftraggeber,Befragte,Datum,CDU,CDU,baden-wuerttemberg
– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,CDU,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,baden-wuerttemberg
INSA,BILD,O • 1.04006.05.–08.05.,10.05.2019,CDU,27 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00220.03.–26.03,28.03.2019,CDU,28 %,baden-wuerttemberg
INSA,BILD,TOM • 1.00607.02.–12.02.,15.02.2019,CDU,27 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00729.01.–01.02.,04.02.2019,CDU,23 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00305.09.–10.09,12.09.2018,CDU,28 %,baden-wuerttemberg
INSA,BILD,TOM • 1.04601.09.–06.09.,12.09.2018,CDU,25 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00308.02.–22.02.,25.02.2018,CDU,27 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00326.01.–30.01,31.01.2018,CDU,29 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00403.03.–07.03,09.03.2017,CDU,28 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00109.09.–13.09,15.09.2016,CDU,26 %,baden-wuerttemberg
Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,CDU,"27,0 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.71107.03.–10.03.,10.03.2016,CDU,29 %,baden-wuerttemberg
YouGov,YouGov,O • 97402.03.–09.03.,10.03.2016,CDU,30 %,baden-wuerttemberg
Forsa,RTL,T • 1.00202.03.–08.03.,09.03.2016,CDU,27 %,baden-wuerttemberg
INSA,BILD,T • 1.00501.03.–05.03.,07.03.2016,CDU,"28,5 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.05829.02.–03.03.,04.03.2016,CDU,30 %,baden-wuerttemberg
Infratestdimap,ARD,T • 1.00229.02.–02.03,03.03.2016,CDU,28 %,baden-wuerttemberg
INSA,BILD,T • 1.03025.02.–27.02.,28.02.2016,CDU,30 %,baden-wuerttemberg
Forsa,"EZ,
 LKZ,PZ,
 GEA",T • 1.06916.02.–22.02.,26.02.2016,CDU,30 %,baden-wuerttemberg
INSA,BILD,T • 1.00019.02.–20.02.,22.02.2016,CDU,30 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00011.02.–16.02.,18.02.2016,CDU,31 %,baden-wuerttemberg
CustomerResearch 42,SchwäbischeZeitung,T • 1.00027.01.–07.02.,12.02.2016,CDU,"33,1 %",baden-wuerttemberg
INSA,BILD,T • 1.00026.01.–01.02.,05.02.2016,CDU,"33,5 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.06918.01.–20.01.,21.01.2016,CDU,34 %,baden-wuerttemberg
INSA,CDU-LV,T • 1.00011.01.–18.01.,20.01.2016,CDU,35 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.01.–12.01.,14.01.2016,CDU,35 %,baden-wuerttemberg
Forsa,stern,T • 1.06402.12.–11.12.,15.12.2015,CDU,35 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00026.11.–01.12.,03.12.2015,CDU,37 %,baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.04016.11.–18.11.,20.11.2015,CDU,37 %,baden-wuerttemberg
INSA,BILD,T • 1.00324.09.–06.10.,09.10.2015,CDU,40 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00017.09.–22.09.,24.09.2015,CDU,39 %,baden-wuerttemberg
Allensbach,Allensbach,F • 1.04718.07.–12.08.,11.09.2015,CDU,"40,5 %",baden-wuerttemberg
Forsa,stern,T • 1.01023.04.–07.05.,12.05.2015,CDU,38 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00019.03.–24.03.,26.03.2015,CDU,38 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00010.11.–11.11.,13.11.2014,CDU,41 %,baden-wuerttemberg
TNS Infratest,SPD-LTFraktion,T • ???.07.–??.07.,17.09.2014,CDU,41 %,baden-wuerttemberg
Infratestdimap,SWR,T • 1.00006.05.–11.05.,13.05.2014,CDU,41 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00404.11.–05.11.,07.11.2013,CDU,43 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00513.05.–15.05.,16.05.2013,CDU,39 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.05.–08.05.,10.05.2012,CDU,37 %,baden-wuerttemberg
Emnid,Focus,T • 1.00215.11.–17.11.,20.11.2011,CDU,34 %,baden-wuerttemberg
Infratestdimap,"SWR, StuttgarterZeitung, Uni Stuttgart,Bertelsmann Stift.",T • 2.40308.11.–16.11.,17.11.2011,CDU,37 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00016.08.–17.08.,18.08.2011,CDU,36 %,baden-wuerttemberg
Forsa,"stern.de, RTL",T • 1.00418.04.–29.04.,04.05.2011,CDU,36 %,baden-wuerttemberg
Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,CDU,"39,0 %",baden-wuerttemberg
Institut,Auftraggeber,Befragte,Datum,SPD,SPD,baden-wuerttemberg
– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,SPD,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,baden-wuerttemberg
INSA,BILD,O • 1.04006.05.–08.05.,10.05.2019,SPD,11 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00220.03.–26.03,28.03.2019,SPD,12 %,baden-wuerttemberg
INSA,BILD,TOM • 1.00607.02.–12.02.,15.02.2019,SPD,13 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00729.01.–01.02.,04.02.2019,SPD,9 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00305.09.–10.09,12.09.2018,SPD,11 %,baden-wuerttemberg
INSA,BILD,TOM • 1.04601.09.–06.09.,12.09.2018,SPD,12 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00308.02.–22.02.,25.02.2018,SPD,12 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00326.01.–30.01,31.01.2018,SPD,12 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00403.03.–07.03,09.03.2017,SPD,20 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00109.09.–13.09,15.09.2016,SPD,13 %,baden-wuerttemberg
Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,SPD,"12,7 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.71107.03.–10.03.,10.03.2016,SPD,14 %,baden-wuerttemberg
YouGov,YouGov,O • 97402.03.–09.03.,10.03.2016,SPD,12 %,baden-wuerttemberg
