Poll_ID,Date,Date_Start,Date_End,n,Parliament_ID,Institute_ID,Tasker_ID,Party_ID,Pct,Institute_Name,Parliament_Name,Tasker_Name,Party_Name
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,1,26,INSA,Bundestag,BILD,CDU/CSU
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,4,23.5,INSA,Bundestag,BILD,Grüne
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,7,15,INSA,Bundestag,BILD,AfD
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,2,14.5,INSA,Bundestag,BILD,SPD
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,3,8.5,INSA,Bundestag,BILD,FDP
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,5,7,INSA,Bundestag,BILD,Linke
1400,2019-09-02,2019-08-30,2019-09-02,2017,0,5,4,0,5.5,INSA,Bundestag,BILD,Sonstige
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,4,24,Forsa,Berlin,Berliner Zeitung,Grüne
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,5,17,Forsa,Berlin,Berliner Zeitung,Linke
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,2,16,Forsa,Berlin,Berliner Zeitung,SPD
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,101,16,Forsa,Berlin,Berliner Zeitung,CDU
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,7,11,Forsa,Berlin,Berliner Zeitung,AfD
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,0,10,Forsa,Berlin,Berliner Zeitung,Sonstige
1399,2019-08-31,2019-08-20,2019-08-29,1003,3,2,15,3,6,Forsa,Berlin,Berliner Zeitung,FDP
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,1,29,Emnid,Bundestag,BILD am Sonntag,CDU/CSU
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,4,22,Emnid,Bundestag,BILD am Sonntag,Grüne
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,2,15,Emnid,Bundestag,BILD am Sonntag,SPD
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,7,14,Emnid,Bundestag,BILD am Sonntag,AfD
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,3,7,Emnid,Bundestag,BILD am Sonntag,FDP
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,5,7,Emnid,Bundestag,BILD am Sonntag,Linke
1398,2019-08-31,2019-08-22,2019-08-28,1434,0,3,3,0,6,Emnid,Bundestag,BILD am Sonntag,Sonstige
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,1,27,Forsa,Bundestag,RTL / n-tv,CDU/CSU
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,4,23,Forsa,Bundestag,RTL / n-tv,Grüne
1397,2019-08-31,2019-08-26,2019-08-30,2501,0,2,63,2,15,Forsa,Bundestag,RTL / n-tv,SPD
