Land,Jahr,Wahltag,Wahlbeteiligung,Partei,Anteil
Schleswig-Holstein,1996,1996-03-24,71.8,CDUCSU,37.2
Schleswig-Holstein,2000,2000-02-27,69.5,CDUCSU,35.2
Schleswig-Holstein,2005,2005-02-20,66.5,CDUCSU,40.2
Schleswig-Holstein,2009,2009-09-27,73.5,CDUCSU,31.5
Schleswig-Holstein,2012,2012-05-06,60.2,CDUCSU,30.8
Schleswig-Holstein,2017,2017-05-07,64.2,CDUCSU,32
Mecklenburg-Vorpommern,1994,1994-10-16,72.9,CDUCSU,37.7
Mecklenburg-Vorpommern,1998,1998-09-27,79.4,CDUCSU,30.2
Mecklenburg-Vorpommern,2002,2002-09-22,70.6,CDUCSU,31.4
Mecklenburg-Vorpommern,2006,2006-09-17,59.1,CDUCSU,28.8
Mecklenburg-Vorpommern,2011,2011-09-04,51.5,CDUCSU,23
Mecklenburg-Vorpommern,2016,2016-09-04,61.9,CDUCSU,19
Hamburg,1993,1993-09-19,69.6,CDUCSU,25
Hamburg,1997,1997-09-21,68.7,CDUCSU,30.7
Hamburg,2001,2001-09-23,71,CDUCSU,26.2
Hamburg,2004,2004-02-29,68.7,CDUCSU,47.2
Hamburg,2008,2008-02-24,63.5,CDUCSU,42.6
Hamburg,2011,2011-02-20,57.3,CDUCSU,21.9
Hamburg,2015,2015-02-15,56.5,CDUCSU,15.9
Niedersachsen,1994,1994-03-13,73.8,CDUCSU,36.4
Niedersachsen,1998,1998-03-01,73.8,CDUCSU,35.9
Niedersachsen,2003,2003-02-02,67,CDUCSU,48.3
Niedersachsen,2008,2008-01-27,57.1,CDUCSU,42.5
Niedersachsen,2013,2013-01-20,59.4,CDUCSU,36
Niedersachsen,2017,2017-10-15,63.1,CDUCSU,33.6
Bremen,1995,1995-05-14,68.6,CDUCSU,32.6
Bremen,1999,1999-06-06,60.1,CDUCSU,37.1
Bremen,2003,2003-05-25,61.3,CDUCSU,29.8
Bremen,2007,2007-05-13,57.5,CDUCSU,25.6
Bremen,2011,2011-05-22,55.5,CDUCSU,20.4
Bremen,2015,2015-05-10,50.2,CDUCSU,22.4
Brandenburg,1994,1994-09-11,56.3,CDUCSU,18.7
Brandenburg,1999,1999-09-05,54.3,CDUCSU,26.5
Brandenburg,2004,2004-09-19,56.4,CDUCSU,19.4
Brandenburg,2009,2009-09-27,67,CDUCSU,19.8
Brandenburg,2014,2014-09-14,47.9,CDUCSU,23
Brandenburg,2019,2019-09-01,61.3,CDUCSU,15.6
Sachsen-Anhalt,1994,1994-06-26,54.8,CDUCSU,34.4
Sachsen-Anhalt,1998,1998-04-26,71.5,CDUCSU,22
Sachsen-Anhalt,2002,2002-04-21,56.5,CDUCSU,37.3
Sachsen-Anhalt,2006,2006-03-26,44.4,CDUCSU,36.2
Sachsen-Anhalt,2011,2011-03-20,51.2,CDUCSU,32.5
Sachsen-Anhalt,2016,2016-03-13,61.1,CDUCSU,29.8
Berlin,1995,1995-10-22,68.6,CDUCSU,37.4
Berlin,1999,1999-10-10,65.5,CDUCSU,40.8
Berlin,2001,2001-10-21,68.1,CDUCSU,23.8
Berlin,2006,2006-09-17,58,CDUCSU,21.3
Berlin,2011,2011-09-18,60.2,CDUCSU,23.3
Berlin,2016,2016-09-18,66.9,CDUCSU,17.6
Nordrhein-Westfalen,1995,1995-05-14,64,CDUCSU,37.7
Nordrhein-Westfalen,2000,2000-05-14,56.7,CDUCSU,37
Nordrhein-Westfalen,2005,2005-05-22,63,CDUCSU,44.8
Nordrhein-Westfalen,2010,2010-05-09,59.3,CDUCSU,34.6
Nordrhein-Westfalen,2012,2012-05-13,59.6,CDUCSU,26.3
Nordrhein-Westfalen,2017,2017-05-14,65.2,CDUCSU,33
Sachsen,1994,1994-09-11,58.4,CDUCSU,58.1
Sachsen,1999,1999-09-19,61.1,CDUCSU,56.9
Sachsen,2004,2004-09-19,59.6,CDUCSU,41.1
Sachsen,2009,2009-08-30,52.2,CDUCSU,40.2
Sachsen,2014,2014-08-31,49.1,CDUCSU,39.4
Sachsen,2019,2019-09-01,66.6,CDUCSU,32.1
